750000	-20.1	-0.56
750000	-18.1	-0.67
750000	-16.1	-0.79
750000	-14.2	-0.84
750000	-12.2	-0.7
750000	-10.1	-0.63
750000	-8.2	-0.56
750000	-6.1	-0.64
750000	-4.1	-0.42
750000	-2.1	-0.21
750000	0.1	0.05
750000	2	0.3
750000	4.1	0.54
750000	6.2	0.79
750000	8.1	0.9
750000	10.2	0.93
750000	11.3	0.92
750000	12.1	0.95
750000	13.2	0.99
750000	14.2	1.01
750000	15.3	1.02
750000	16.3	1
750000	17.1	0.94
750000	18.1	0.85
750000	19.1	0.7
750000	20.1	0.66
750000	22	0.7
750000	24.1	0.79
750000	26.2	0.88
750000	28	0.96
750000	30.1	1.05
750000	32	1.12
750000	34.1	1.18
750000	36.2	1.19
750000	38	1.23
750000	40	1.25
1000000	-20.1	-0.55
1000000	-18.2	-0.65
1000000	-16.2	-0.8
1000000	-14.1	-0.79
1000000	-12.1	-0.7
1000000	-10.2	-0.63
1000000	-8.2	-0.58
1000000	-6.2	-0.61
1000000	-4.1	-0.4
1000000	-2.1	-0.16
1000000	0	0.07
1000000	2.1	0.3
1000000	4.1	0.55
1000000	6.1	0.79
1000000	8.2	0.9
1000000	10.1	0.94
1000000	11.2	0.93
1000000	12.2	0.97
1000000	13.3	1
1000000	14.2	1.02
1000000	15.2	1.03
1000000	16.2	1.01
1000000	17.2	0.95
1000000	18.1	0.9
1000000	19.2	0.78
1000000	20	0.67
1000000	22.1	0.7
1000000	24	0.77
1000000	26.1	0.91
1000000	28.1	0.99
1000000	30	1.06
1000000	32.1	1.11
1000000	34.1	1.18
1000000	36	1.21
1000000	38.1	1.24
1000000	39.9	1.26
1250000	-20.2	-0.56
1250000	-18.1	-0.6
1250000	-16	-0.81
1250000	-14.2	-0.76
1250000	-12	-0.7
1250000	-10.1	-0.62
1250000	-8.1	-0.57
1250000	-6.1	-0.59
1250000	-4.1	-0.39
1250000	-2.1	-0.15
1250000	0	0.09
1250000	2.1	0.33
1250000	4.1	0.59
1250000	6.1	0.8
1250000	8.1	0.9
1250000	10.2	0.93
1250000	11.2	0.94
1250000	12.2	1
1250000	13.2	1.02
1250000	14.2	1.04
1250000	15.2	1.06
1250000	16.2	1.02
1250000	17.2	0.96
1250000	18.2	0.91
1250000	19	0.72
1250000	20.1	0.7
1250000	22.1	0.7
1250000	24	0.76
1250000	26	0.87
1250000	28	0.97
1250000	30	1.04
1250000	31.9	1.11
1250000	34.1	1.18
1250000	36.2	1.21
1250000	38	1.25
1250000	39.9	1.25
1500000	-20.1	-0.6
1500000	-18	-0.59
1500000	-16.1	-0.79
1500000	-14.2	-0.77
1500000	-12.2	-0.7
1500000	-10.2	-0.62
1500000	-8.1	-0.58
1500000	-6.2	-0.58
1500000	-4.1	-0.4
1500000	-2	-0.14
1500000	0	0.11
1500000	2.1	0.34
1500000	4.1	0.6
1500000	6.1	0.79
1500000	8.1	0.92
1500000	10.2	0.95
1500000	11.2	0.94
1500000	12.2	1
1500000	13.2	1.03
1500000	14.1	1.05
1500000	15.2	1.06
1500000	16.2	1.03
1500000	17.2	0.96
1500000	18.2	0.9
1500000	19	0.88
1500000	20.2	0.85
1500000	22.2	0.71
1500000	24	0.78
